0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
1	bh	bj	ba	bl	bo	bd	bb	bs	bk	bc	bq	bi	bp	bn	be	bt	br	bg	bf	bm	
2	gh	gj	ga	gl	go	gd	gb	gs	gk	gc	gq	gi	gp	gn	ge	gt	gr	gg	gf	gm	
3	dh	dj	da	dl	do	dd	db	ds	dk	dc	dq	di	dp	dn	de	dt	dr	dg	df	dm	
4	rh	rj	ra	rl	ro	rd	rb	rs	rk	rc	rq	ri	rp	rn	re	rt	rr	rg	rf	rm	
5	rh	rj	ra	rl	ro	rd	rb	rs	rk	rc	rq	ri	rp	rn	re	rt	rr	rg	rf	rm	
6	bh	bj	ba	bl	bo	bd	bb	bs	bk	bc	bq	bi	bp	bn	be	bt	br	bg	bf	bm	
7	ch	cj	ca	cl	co	cd	cb	cs	ck	cc	cq	ci	cp	cn	ce	ct	cr	cg	cf	cm	
8	gh	gj	ga	gl	go	gd	gb	gs	gk	gc	gq	gi	gp	gn	ge	gt	gr	gg	gf	gm	
9	bh	bj	ba	bl	bo	bd	bb	bs	bk	bc	bq	bi	bp	bn	be	bt	br	bg	bf	bm	
10	hh	hj	ha	hl	ho	hd	hb	hs	hk	hc	hq	hi	hp	hn	he	ht	hr	hg	hf	hm	
11	rh	rj	ra	rl	ro	rd	rb	rs	rk	rc	rq	ri	rp	rn	re	rt	rr	rg	rf	rm	
12	bh	bj	ba	bl	bo	bd	bb	bs	bk	bc	bq	bi	bp	bn	be	bt	br	bg	bf	bm	
13	hh	hj	ha	hl	ho	hd	hb	hs	hk	hc	hq	hi	hp	hn	he	ht	hr	hg	hf	hm	
14	rh	rj	ra	rl	ro	rd	rb	rs	rk	rc	rq	ri	rp	rn	re	rt	rr	rg	rf	rm	
15	eh	jj	aa	ll	oo	cd	tb	ss	kk	cc	qq	ii	pp	nn	ee	tt	jr	sg	ff	mm	
16	bh	bj	ba	bl	bo	bd	bb	bs	bk	bc	bq	bi	bp	bn	be	bt	br	bg	bf	bm	
17	dh	dj	da	dl	do	dd	db	ds	dk	dc	dq	di	dp	dn	de	dt	dr	dg	df	dm	
18	nh	nj	na	nl	no	nd	nb	ns	nk	nc	nq	ni	np	nn	ne	nt	nr	ng	nf	nm	
19	eh	jj	aa	ll	oo	md	tb	ss	kk	cc	qq	ii	pp	nn	ee	tt	jr	qg	ff	mm	
20	rh	rj	ra	rl	ro	rd	rb	rs	rk	rc	rq	ri	rp	rn	re	rt	rr	rg	rf	rm	
